descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
Folin 5MG 30 Comprimidos Revestidos,7898100264179,Ácido Fólico,"Outros Produtos Antianêmicos, Incluindo Ácido Fólico, Ácido Folínico",Folin,Geyer Medicamentos S/A,"{""ean"":""7898100264179"",""dose"":""5MG 30 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1044300200029"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Fólico""],""legado"":{""produto_id"":689,""apresentacao_id"":854,""nome_normalizado"":""folin"",""tipo"":""medicamento""}}"
Atossion 3mg/ml Xarope 100 ml,7898109240020,Dropropizina,Antitussígenos Puros,Atossion,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240020"",""dose"":""3mg/ml Xarope 100 ml"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1038500020037"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dropropizina""],""legado"":{""produto_id"":18,""apresentacao_id"":20,""nome_normalizado"":""atossion"",""tipo"":""medicamento""}}"
"Atossion 1,5mg/ml Xarope 60 ml",7898109240037,Dropropizina,Antitussígenos Puros,Atossion,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240037"",""dose"":""1,5mg/ml Xarope 60 ml"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1038500020029"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dropropizina""],""legado"":{""produto_id"":18,""apresentacao_id"":21,""nome_normalizado"":""atossion"",""tipo"":""medicamento""}}"
Bialerge 0.8mg/ml + 1mg/ml Elixir,7898109240051,"Cloridrato de Fenilefrina, Maleato de Bronfeniramina",Preparações Sistêmicas Nasais,Bialerge,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240051"",""dose"":""0.8mg/ml + 1mg/ml Elixir"",""unidade"":""mg"",""forma_farmaceutica"":""ELIXIR"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1038500050034"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fenilefrina"",""Maleato de Bronfeniramina""],""legado"":{""produto_id"":32,""apresentacao_id"":37,""nome_normalizado"":""bialerge"",""tipo"":""medicamento""}}"
"Elotin 0,275mg/ml + 3,850mg/ml + 11.000ui/ml + 20mg/ Solução",7898109240136,"Fluocinolona Acetonida, Sulfato de Neomicina",Associações Otológicas Corticosteróides COM Antiinfecciosos,Elotin,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240136"",""dose"":""0,275mg/ml + 3,850mg/ml + 11.000ui/ml + 20mg/ Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Otológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1038500160012"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Fluocinolona Acetonida"",""Sulfato de Neomicina""],""legado"":{""produto_id"":70,""apresentacao_id"":82,""nome_normalizado"":""elotin"",""tipo"":""medicamento""}}"
Vi-ferrin 20mg/ml + 0.333mg/ml + 1.0mcg/ml Solução,7898109240273,"Bisglicinato Ferroso, Cianocobalamina, Ácido Fólico",Associações de Ferro,Vi-ferrin,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240273"",""dose"":""20mg/ml + 0.333mg/ml + 1.0mcg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1038500510046"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bisglicinato Ferroso"",""Cianocobalamina"",""Ácido Fólico""],""legado"":{""produto_id"":159,""apresentacao_id"":190,""nome_normalizado"":""vi ferrin"",""tipo"":""medicamento""}}"
Benzevit 200mg/g + 100.000ui/g Creme,7898109240433,"Nistatina, Óxido de Zinco",Todos Outros Produtos Para Tratamento de Feridas,Benzevit,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240433"",""dose"":""200mg/g + 100.000ui/g Creme"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1038500040017"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Nistatina"",""Óxido de Zinco""],""legado"":{""produto_id"":28,""apresentacao_id"":32,""nome_normalizado"":""benzevit"",""tipo"":""medicamento""}}"
Vi-ferrin 300mg + 5MG + 15mcg 60 Comprimidos Revestidos,7898109240532,"Bisglicinato Ferroso, Cianocobalamina, Ácido Fólico",Associações de Ferro,Vi-ferrin,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240532"",""dose"":""300mg + 5MG + 15mcg 60 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""60"",""volume"":null,""registro_ms"":""1038500510078"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bisglicinato Ferroso"",""Cianocobalamina"",""Ácido Fólico""],""legado"":{""produto_id"":159,""apresentacao_id"":189,""nome_normalizado"":""vi ferrin"",""tipo"":""medicamento""}}"
Bacfar 400mg + 80mg 20 Comprimidos,7898109240884,Sulfametoxazol,Associações de Trimetoprima E Similares,Bacfar,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240884"",""dose"":""400mg + 80mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1038500030033"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Sulfametoxazol""],""legado"":{""produto_id"":24,""apresentacao_id"":28,""nome_normalizado"":""bacfar"",""tipo"":""medicamento""}}"
Bacfar 40mg/ml + 8mg/ml Suspensão 100 ml,7898109240891,Sulfametoxazol,Associações de Trimetoprima E Similares,Bacfar,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109240891"",""dose"":""40mg/ml + 8mg/ml Suspensão 100 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1038500030068"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Sulfametoxazol""],""legado"":{""produto_id"":24,""apresentacao_id"":272,""nome_normalizado"":""bacfar"",""tipo"":""medicamento""}}"
Ciprofar 500mg 14 Comprimidos Revestidos,7898109241393,Cloridrato de Ciprofloxacino Monoidratado,Fluorquinolonas Orais,Ciprofar,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109241393"",""dose"":""500mg 14 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""14"",""volume"":null,""registro_ms"":""1038500870041"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Ciprofloxacino Monoidratado""],""legado"":{""produto_id"":534,""apresentacao_id"":668,""nome_normalizado"":""ciprofar"",""tipo"":""medicamento""}}"
Vi-ferrin 150mg/ml + 0.25mg/ml + 7.5mcg/ml Solução,7898109241485,"Bisglicinato Ferroso, Cianocobalamina, Ácido Fólico",Associações de Ferro,Vi-ferrin,Laboratório Farmacêutico Elofar Ltda,"{""ean"":""7898109241485"",""dose"":""150mg/ml + 0.25mg/ml + 7.5mcg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1038500510011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bisglicinato Ferroso"",""Cianocobalamina"",""Ácido Fólico""],""legado"":{""produto_id"":159,""apresentacao_id"":799,""nome_normalizado"":""vi ferrin"",""tipo"":""medicamento""}}"
Afolic 5MG 20 Comprimidos Revestidos,7898133136535,Ácido Fólico,"Outros Produtos Antianêmicos, Incluindo Ácido Fólico, Ácido Folínico",Afolic,Natulab Laboratório S.A,"{""ean"":""7898133136535"",""dose"":""5MG 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1384100500116"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Fólico""],""legado"":{""produto_id"":965,""apresentacao_id"":1212,""nome_normalizado"":""afolic"",""tipo"":""medicamento""}}"
Albendazol 40mg/ml Suspensão 10 ml,7898148292936,Albendazol,Anti-helmínticos Exceto Esquistossomicidas (p1c),Albendazol,EMS S/A,"{""ean"":""7898148292936"",""dose"":""40mg/ml Suspensão 10 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1256800290031"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Albendazol""],""legado"":{""produto_id"":1033,""apresentacao_id"":1291,""nome_normalizado"":""albendazol"",""tipo"":""medicamento""}}"
Albendazol 400mg 1 Comprimido Mastigável,7898148295210,Albendazol,Anti-helmínticos Exceto Esquistossomicidas (p1c),Albendazol,EMS S/A,"{""ean"":""7898148295210"",""dose"":""400mg 1 Comprimido Mastigável"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDO MASTIGÁVEL"",""via_administracao"":""Oral"",""quantidade"":""1"",""volume"":null,""registro_ms"":""1256800520010"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Albendazol""],""legado"":{""produto_id"":1033,""apresentacao_id"":1287,""nome_normalizado"":""albendazol"",""tipo"":""medicamento""}}"
Aciclovir 50mg/g Creme 10 G,7898148299317,Aciclovir,Antivirais Oftalmológicos,Aciclovir,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898148299317"",""dose"":""50mg/g Creme 10 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1256801110010"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aciclovir""],""legado"":{""produto_id"":703,""apresentacao_id"":868,""nome_normalizado"":""aciclovir"",""tipo"":""medicamento""}}"
"Dextamine (0,4 + 0,05)mg/ml Xarope + Copo Dosador",7898158691446,"Betametasona, Maleato de Dexclorfeniramina",Associações de Corticosteróides Sistêmicos,Dextamine,Cifarma Científica Farmacêutica Ltda,"{""ean"":""7898158691446"",""dose"":""(0,4 + 0,05)mg/ml Xarope + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1156000720035"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Betametasona"",""Maleato de Dexclorfeniramina""],""legado"":{""produto_id"":422,""apresentacao_id"":527,""nome_normalizado"":""dextamine"",""tipo"":""medicamento""}}"
Queimalive 74mg/g + 20mg/g Pomada,7898158691576,"Sulfacetamida Sódica, Trolamina",Todos Outros Produtos Para Tratamento de Feridas,Queimalive,Cifarma Científica Farmacêutica Ltda,"{""ean"":""7898158691576"",""dose"":""74mg/g + 20mg/g Pomada"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1156000810026"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Sulfacetamida Sódica"",""Trolamina""],""legado"":{""produto_id"":295,""apresentacao_id"":360,""nome_normalizado"":""queimalive"",""tipo"":""medicamento""}}"
Nebactrina 5mg/g + 250ui/g Pomada,7898216360239,"Bacitracina Zíncica, Sulfato de Neomicina",Antibióticos Tópicos,Nebactrina,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898216360239"",""dose"":""5mg/g + 250ui/g Pomada"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1410700080013"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bacitracina Zíncica"",""Sulfato de Neomicina""],""legado"":{""produto_id"":532,""apresentacao_id"":666,""nome_normalizado"":""nebactrina"",""tipo"":""medicamento""}}"
"Digoxina 0,25mg 30 Comprimidos",7898216360420,Digoxina,Cardioglicosídeos Puros,Digoxina,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898216360420"",""dose"":""0,25mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1410700590038"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Digoxina""],""legado"":{""produto_id"":545,""apresentacao_id"":683,""nome_normalizado"":""digoxina"",""tipo"":""medicamento""}}"
Aciclovir 30mg/g Pomada,7898216365449,Aciclovir,Antivirais Oftalmológicos,Aciclovir,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898216365449"",""dose"":""30mg/g Pomada"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Oftálmica"",""quantidade"":null,""volume"":null,""registro_ms"":""1410700970035"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aciclovir""],""legado"":{""produto_id"":703,""apresentacao_id"":1067,""nome_normalizado"":""aciclovir"",""tipo"":""medicamento""}}"
Aciclovir 200mg 30 Comprimidos,7898216366675,Aciclovir,Antivirais Oftalmológicos,Aciclovir,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898216366675"",""dose"":""200mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1410700970132"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aciclovir""],""legado"":{""produto_id"":703,""apresentacao_id"":1058,""nome_normalizado"":""aciclovir"",""tipo"":""medicamento""}}"
Aciclovir 200mg 25 Comprimidos,7898216367429,Aciclovir,Antivirais Oftalmológicos,Aciclovir,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898216367429"",""dose"":""200mg 25 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""25"",""volume"":null,""registro_ms"":""1410700970027"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aciclovir""],""legado"":{""produto_id"":703,""apresentacao_id"":1056,""nome_normalizado"":""aciclovir"",""tipo"":""medicamento""}}"
Gardenal 100mg 20 Comprimidos,7898216368037,Fenobarbital,Antiepilépticos,Gardenal,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898216368037"",""dose"":""100mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1410706580026"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Fenobarbital""],""legado"":{""produto_id"":369,""apresentacao_id"":454,""nome_normalizado"":""gardenal"",""tipo"":""medicamento""}}"
Gardenal 40mg/ml Solução 20 ml,7898216368051,Fenobarbital,Antiepilépticos,Gardenal,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7898216368051"",""dose"":""40mg/ml Solução 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1410706580034"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Fenobarbital""],""legado"":{""produto_id"":369,""apresentacao_id"":455,""nome_normalizado"":""gardenal"",""tipo"":""medicamento""}}"
Reparil 10mg/g + 50mg/g GEL,7898560661563,"Escina, Salicilato de Dietilamônio",Terapia Antivaricosa Tópica,Reparil,Mylan Laboratorios Ltda,"{""ean"":""7898560661563"",""dose"":""10mg/g + 50mg/g GEL"",""unidade"":""mg"",""forma_farmaceutica"":""GEL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1883000680027"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Escina"",""Salicilato de Dietilamônio""],""legado"":{""produto_id"":140,""apresentacao_id"":170,""nome_normalizado"":""reparil"",""tipo"":""medicamento""}}"
Reparil 10mg/g + 50mg/g GEL,7898560661570,"Escina, Salicilato de Dietilamônio",Terapia Antivaricosa Tópica,Reparil,Mylan Laboratorios Ltda,"{""ean"":""7898560661570"",""dose"":""10mg/g + 50mg/g GEL"",""unidade"":""mg"",""forma_farmaceutica"":""GEL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1883000680035"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Escina"",""Salicilato de Dietilamônio""],""legado"":{""produto_id"":140,""apresentacao_id"":751,""nome_normalizado"":""reparil"",""tipo"":""medicamento""}}"
Legalon 90mg 30 Comprimidos Revestidos,7898560664335,Silybum Marianum (l.) Gaertn,Hepatoprotetores E Lipotrópicos,Legalon,Mylan Laboratorios Ltda,"{""ean"":""7898560664335"",""dose"":""90mg 30 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1883000500010"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Silybum Marianum (l.) Gaertn""],""legado"":{""produto_id"":315,""apresentacao_id"":384,""nome_normalizado"":""legalon"",""tipo"":""medicamento""}}"
Legalon 64mg/5ml Suspensão,7898560664373,Silybum Marianum (l.) Gaertn,Hepatoprotetores E Lipotrópicos,Legalon,Mylan Laboratorios Ltda,"{""ean"":""7898560664373"",""dose"":""64mg/5ml Suspensão"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1883000500037"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Silybum Marianum (l.) Gaertn""],""legado"":{""produto_id"":315,""apresentacao_id"":498,""nome_normalizado"":""legalon"",""tipo"":""medicamento""}}"
"Rivotril 2,5mg/ml Solução 20 ml + Conta-gotas",7898581710455,Clonazepam,Antipsicóticos Convencionais,Rivotril,Blanver Farmoquimica E Farmacêutica S.a.,"{""ean"":""7898581710455"",""dose"":""2,5mg/ml Solução 20 ml + Conta-gotas"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1152400110037"",""tarja"":""TARJA PRETA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Clonazepam""],""legado"":{""produto_id"":434,""apresentacao_id"":544,""nome_normalizado"":""rivotril"",""tipo"":""medicamento""}}"
Noripurum ev 20mg/ml Solução Injetável 5 ml - 5 Ampolas de Vidro Transparente,7898581710615,Sacarato de Óxido Férrico,Ferro Puro,Noripurum ev,Blanver Farmoquimica E Farmacêutica S.a.,"{""ean"":""7898581710615"",""dose"":""20mg/ml Solução Injetável 5 ml - 5 Ampolas de Vidro Transparente"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO INJETÁVEL"",""via_administracao"":""Intravenosa"",""quantidade"":null,""volume"":null,""registro_ms"":""1152400150012"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Sacarato de Óxido Férrico""],""legado"":{""produto_id"":117,""apresentacao_id"":140,""nome_normalizado"":""noripurum ev"",""tipo"":""medicamento""}}"
"Amplictil 40,00mg/ml Solução 20 ml + Conta-gotas",7898581711186,Cloridrato de Clorpromazina,Antipsicóticos Atípicos,Amplictil,Blanver Farmoquimica E Farmacêutica S.a.,"{""ean"":""7898581711186"",""dose"":""40,00mg/ml Solução 20 ml + Conta-gotas"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1152400200036"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Clorpromazina""],""legado"":{""produto_id"":1155,""apresentacao_id"":1515,""nome_normalizado"":""amplictil"",""tipo"":""medicamento""}}"
Neozine 40mg/ml Solução 20 ml,7898581711223,"Cloridrato de Levomepromazina, Maleato de Levomepromazina",Antipsicóticos Convencionais,Neozine,Blanver Farmoquimica E Farmacêutica S.a.,"{""ean"":""7898581711223"",""dose"":""40mg/ml Solução 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1152400210031"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Levomepromazina"",""Maleato de Levomepromazina""],""legado"":{""produto_id"":219,""apresentacao_id"":458,""nome_normalizado"":""neozine"",""tipo"":""medicamento""}}"
Neozine 25mg 20 Comprimidos Revestidos,7898581711230,"Cloridrato de Levomepromazina, Maleato de Levomepromazina",Antipsicóticos Convencionais,Neozine,Blanver Farmoquimica E Farmacêutica S.a.,"{""ean"":""7898581711230"",""dose"":""25mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1152400210015"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Levomepromazina"",""Maleato de Levomepromazina""],""legado"":{""produto_id"":219,""apresentacao_id"":263,""nome_normalizado"":""neozine"",""tipo"":""medicamento""}}"
"Adorlan (25,0 + 25,0)mg 20 Comprimidos",7898582380558,"Cloridrato de Tramadol, Diclofenaco Sódico",Analgésicos Narcóticos,Adorlan,Grünenthal do Brasil Farmacêutica Ltda.,"{""ean"":""7898582380558"",""dose"":""(25,0 + 25,0)mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1861000170028"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Tramadol"",""Diclofenaco Sódico""],""legado"":{""produto_id"":957,""apresentacao_id"":1195,""nome_normalizado"":""adorlan"",""tipo"":""medicamento""}}"
"Adorlan (50,0 + 50,0)mg 20 Comprimidos",7898582380572,"Cloridrato de Tramadol, Diclofenaco Sódico",Analgésicos Narcóticos,Adorlan,Grünenthal do Brasil Farmacêutica Ltda.,"{""ean"":""7898582380572"",""dose"":""(50,0 + 50,0)mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1861000170060"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Tramadol"",""Diclofenaco Sódico""],""legado"":{""produto_id"":957,""apresentacao_id"":1196,""nome_normalizado"":""adorlan"",""tipo"":""medicamento""}}"
Timoptol 5mg/ml Solução 5 ml,7898586631380,Maleato de Timolol,Preparações Antiglaucomas E Mióticas Tópicas,Timoptol,Mundipharma Brasil Produtos Médicos E Farmacêuticos Ltda,"{""ean"":""7898586631380"",""dose"":""5mg/ml Solução 5 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oftálmica"",""quantidade"":null,""volume"":null,""registro_ms"":""1919800060028"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Maleato de Timolol""],""legado"":{""produto_id"":341,""apresentacao_id"":415,""nome_normalizado"":""timoptol"",""tipo"":""medicamento""}}"
Tiorfan 100mg 9 Cápsulas Duras,7898906376410,Racecadotrila,Outros Produtos Para Desordem Intestinal,Tiorfan,Laboratórios Bagó do Brasil S/A,"{""ean"":""7898906376410"",""dose"":""100mg 9 Cápsulas Duras"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS DURAS"",""via_administracao"":""Oral"",""quantidade"":""9"",""volume"":null,""registro_ms"":""1562600020026"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Racecadotrila""],""legado"":{""produto_id"":202,""apresentacao_id"":243,""nome_normalizado"":""tiorfan"",""tipo"":""medicamento""}}"
"Keflex 1,5g pó Para Suspensão + Conta-gotas",7898906376656,Cefalexina Monoidratada,Cefalosporinas Orais,Keflex,Laboratórios Bagó do Brasil S/A,"{""ean"":""7898906376656"",""dose"":""1,5g pó Para Suspensão + Conta-gotas"",""unidade"":""g"",""forma_farmaceutica"":""PÓ PARA SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1562600170011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cefalexina Monoidratada""],""legado"":{""produto_id"":91,""apresentacao_id"":382,""nome_normalizado"":""keflex"",""tipo"":""medicamento""}}"
